|    0 |    1 |    2 |    3 |    4 |    5 |
|  324 |  136 |  325 |  132 |  321 |  133 |
|  330 |  138 |  329 |  134 |  325 |  135 |
|  327 |  137 |  328 |  133 |  325 |  135 |
|  326 |  137 |  326 |  132 |  323 |  134 |
|  328 |  138 |  329 |  134 |  326 |  135 |
|  326 |  137 |  327 |  133 |  322 |  134 |
|  328 |  137 |  328 |  134 |  323 |  134 |
|  326 |  137 |  327 |  133 |  323 |  134 |
|  328 |  137 |  327 |  133 |  324 |  134 |
|  322 |  136 |  323 |  133 |  321 |  133 |
|  327 |  137 |  327 |  133 |  323 |  134 |
|  329 |  138 |  329 |  134 |  325 |  135 |
|  326 |  135 |  323 |  131 |  320 |  133 |
|  323 |  136 |  323 |  131 |  321 |  133 |
|  322 |  135 |  323 |  131 |  320 |  133 |
|  323 |  136 |  323 |  131 |  321 |  133 |
|  321 |  135 |  322 |  131 |  319 |  132 |
|  324 |  136 |  324 |  132 |  321 |  133 |
|  322 |  136 |  323 |  131 |  320 |  133 |
|  323 |  136 |  324 |  132 |  320 |  133 |
|  323 |  136 |  324 |  132 |  321 |  133 |
|  321 |  135 |  322 |  131 |  319 |  132 |
|  321 |  135 |  322 |  131 |  319 |  132 |
|  324 |  136 |  324 |  132 |  320 |  133 |
|  325 |  137 |  326 |  132 |  322 |  133 |
|  324 |  136 |  325 |  132 |  322 |  133 |
|  325 |  136 |  325 |  132 |  321 |  133 |
|  326 |  136 |  325 |  132 |  321 |  133 |
|  326 |  137 |  326 |  132 |  322 |  133 |
|  318 |  133 |  318 |  129 |  315 |  131 |
|  323 |  135 |  324 |  132 |  320 |  133 |
|  325 |  136 |  326 |  133 |  321 |  133 |
|  323 |  135 |  324 |  132 |  320 |  133 |
|  325 |  136 |  324 |  132 |  321 |  133 |
|  325 |  137 |  326 |  132 |  320 |  133 |
|  329 |  138 |  330 |  134 |  325 |  135 |
|  327 |  137 |  328 |  133 |  323 |  134 |
|  326 |  136 |  326 |  132 |  322 |  133 |
|  324 |  136 |  326 |  132 |  321 |  133 |
|  324 |  136 |  325 |  132 |  320 |  133 |
|  325 |  136 |  325 |  131 |  320 |  133 |
|  325 |  136 |  326 |  132 |  322 |  133 |
|  327 |  137 |  327 |  133 |  322 |  134 |
|  326 |  137 |  327 |  133 |  322 |  133 |
|  323 |  135 |  323 |  131 |  319 |  132 |
|  329 |  137 |  329 |  133 |  325 |  134 |
|  325 |  136 |  326 |  132 |  322 |  133 |
|  324 |  136 |  325 |  132 |  321 |  133 |
|  328 |  137 |  329 |  134 |  325 |  135 |
|  324 |  136 |  325 |  132 |  321 |  133 |
|  324 |  136 |  323 |  132 |  320 |  132 |
|  323 |  135 |  322 |  131 |  319 |  132 |
|  318 |  134 |  319 |  130 |  315 |  131 |
|  319 |  134 |  319 |  130 |  315 |  131 |
|  321 |  134 |  321 |  130 |  317 |  132 |
